_id,CW_HSCODE,url_for_verify,foreign_id,mark,COUNTRY,UNIT1,UNIT2,QUANTITY1_CURRENT_MONTH,QUANTITY2_CURRENT_MONTH,VALUE_CURRENT_MONTH,QUANTITY1_CUMULATIVE_YEAR_TO_DATE,QUANTITY2_CUMULATIVE_YEAR_TO_DATE,VALUE_CUMULATIVE_YEAR_TO_DATE,idx_start,idx_end,page_start,page_end,idx_total
670d21ea631a82b8a8a308bd,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,(103 HANEDA A.P)TOTAL, ,KG, ,441,2069, ,441,2069,1,51,1,1,51
670d21ea631a82b8a8a308be,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,(0902.10-100  )TOTAL, ,KG, ,441,2069, ,441,2069,1,51,1,1,51
670d21ea631a82b8a8a308bf,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,108 HG KONG, ,KG, ,131,1131, ,131,1131,1,51,1,1,51
670d21ea631a82b8a8a308c0,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,123 INDIA, ,KG, ,310,938, ,310,938,1,51,1,1,51
670d21ea631a82b8a8a308c1,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,(104 NARITA A.P)TOTAL, ,KG, ,7678,59219, ,7678,59219,1,51,1,1,51
670d21ea631a82b8a8a308c2,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,(0902.10-100  )TOTAL, ,KG, ,6738,51810, ,6738,51810,1,51,1,1,51
670d21ea631a82b8a8a308c3,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,106 TAIWAN, ,KG, ,19,208, ,19,208,1,51,1,1,51
670d21ea631a82b8a8a308c4,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,108 HG KONG, ,KG, ,96,918, ,96,918,1,51,1,1,51
670d21ea631a82b8a8a308c5,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,110 VIETNAM, ,KG, ,18,359, ,18,359,1,51,1,1,51
670d21ea631a82b8a8a308c6,090210,"https://www.customs.go.jp/toukei/srch/indexe.htm?M=05&P=1,1,,,,,,,,1,0,2024,0,1,0,2,090210,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,200",67092f6ee303cd06213c553e,Result of Search,111 THAILND, ,KG, ,80,424, ,80,424,1,51,1,1,51
